work,hincome,children,region
1,17,present,Prairie
0,5,present,Prairie
0,5,present,Prairie
1,26,present,Ontario
0,10,absent,Quebec
0,11,absent,Quebec
0,20,present,Quebec
1,13,present,Quebec
1,15,present,Quebec
1,28,present,Quebec
0,9,present,Quebec
1,19,present,Quebec
1,11,present,Quebec
0,11,absent,Quebec
1,9,present,Quebec
0,10,absent,Quebec
1,19,present,Quebec
1,13,present,Quebec
0,3,absent,Quebec
1,15,present,Quebec
1,15,present,Quebec
0,17,present,Quebec
1,7,present,Quebec
0,15,absent,Quebec
1,19,present,Quebec
0,16,absent,Quebec
1,5,absent,Quebec
1,11,present,Quebec
1,11,present,Quebec
1,19,present,Quebec
1,15,present,Quebec
1,15,present,Quebec
1,11,present,Quebec
0,5,absent,Quebec
0,23,present,Quebec
0,23,present,Quebec
1,7,present,Quebec
1,13,present,Quebec
0,15,absent,Quebec
0,5,absent,Quebec
1,7,present,Quebec
0,6,absent,Quebec
0,5,present,Quebec
0,5,present,Quebec
1,13,present,Quebec
1,13,present,Quebec
1,13,present,Quebec
1,13,absent,Quebec
1,17,present,Quebec
0,6,present,Quebec
1,5,present,Quebec
0,19,present,Quebec
0,3,present,Quebec
1,23,absent,Quebec
1,23,absent,Quebec
0,15,absent,Quebec
1,11,absent,Quebec
1,23,absent,Quebec
1,13,present,Quebec
0,23,present,Quebec
0,11,absent,Quebec
1,9,absent,Quebec
0,2,absent,Quebec
1,15,present,Quebec
1,15,absent,Quebec
1,15,present,Quebec
1,11,present,Quebec
1,11,absent,Quebec
1,15,present,Quebec
